EE Provider ID	EE UID	Client Unique ID	Client ID	Entry Exit Group Id	Entry Exit Household Id		Entry Date	Housing Move-in Date(5584)	Exit Date	Destination	Reason for Leaving	Entry Exit Type	Entry Exit Date Added	Entry Exit Date Updated
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688806	bcmm11301974b400c565	402258				8/19/2015		8/26/2015	Hospital or other residential non-psychiatric medical facility (HUD)	Other	HUD	8/21/2015	8/27/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688807	cclm10171961c623c434	333631				8/20/2015		8/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688813	trbf10271990t500r152	172864				8/20/2015		11/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	11/23/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688821	evlf02121969e421v450	404523				8/15/2015		11/11/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	11/12/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688825	cdlf06121971c530d423	408496				8/15/2015		9/11/2015	Permanent housing (other than RRH) for formerly homeless persons (HUD)	Left for housing opp. before completing program	HUD	8/21/2015	9/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688827	aprf10051971a535p600	278004				8/15/2015		8/16/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/21/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688829	acuf12011983a425c340	408494				8/15/2015		8/25/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/26/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688830	ktrf02031971k516t620	375893				8/15/2015		8/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688831	rjhf04061995r240j525	399340				8/15/2015		10/21/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	10/22/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688832	jwtf11171983j253w325	173737				8/15/2015		12/3/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/21/2015	12/4/2015
